"w","e"
4.9415,0
4.94875,0
4.956,0
4.96325,0
4.9705,0
4.97775,0
4.985,0
4.99225,0
4.9995,0
5.00675,0
5.014,0
5.02125,0
5.0285,0
5.03575,0
5.043,0
5.05025,0
5.0575,0
5.06475,0
5.072,0
5.07925,0
5.0865,0
5.09375,0
5.101,0
5.10825,0
5.1155,0
5.12275,0
5.13,0
5.13725,0
5.1445,0
5.15175,0
5.159,0
5.16625,0
5.1735,0
5.18075,0
5.188,0
5.19525,0
5.2025,0
5.20975,0
5.217,0
5.22425,0
5.2315,0
5.23875,0
5.246,0
5.25325,0
5.2605,0
5.26775,0
5.275,0
5.28225,0
5.2895,0
5.29675,0
5.304,0
5.31125,0
5.3185,0
5.32575,0
5.333,0
5.34025,0
5.3475,0
5.35475,0
5.362,0
5.36925,0
5.3765,0
5.38375,0
5.391,0
5.39825,0
5.4055,0
5.41275,0
5.42,0
5.42725,0
5.4345,0
5.44175,0
5.449,0
5.45625,0
5.4635,0
5.47075,0
5.478,0
5.48525,0
5.4925,0
5.49975,0
5.507,0
5.51425,0
5.5215,0
5.52875,0
5.536,0
5.54325,0
5.5505,0
5.55775,0
5.565,0
5.57225,0
5.5795,0
5.58675,0
5.594,0
5.60125,0
5.6085,0
5.61575,0
5.623,0
5.63025,0
5.6375,0
5.64475,0
5.652,0
5.65925,0
5.6665,0
5.67375,0
5.681,0
5.68825,0
5.6955,0
5.70275,0
5.71,0
5.71725,0
5.7245,0
5.73175,0
5.739,0
5.74625,0
5.7535,0
5.76075,0
5.768,0
5.77525,0
5.7825,0
5.78975,0
5.797,0
5.80425,0
5.8115,0
5.81875,0
5.826,0
5.83325,0
5.8405,0
5.84775,0
5.855,0
5.86225,0
5.8695,0
5.87675,0
5.884,0
5.89125,0
5.8985,0
5.90575,0
5.913,0
5.92025,0
5.9275,0
5.93475,0
5.942,0
5.94925,0
5.9565,0
5.96375,0
5.971,0
5.97825,0
5.9855,0
5.99275,0
6,0
